network,pool_address,date,open,high,low,close,volume
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-28,2.85680338165937e-05,2.86541172257903e-05,2.76330162149059e-05,2.76330162149059e-05,148.350414894988
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-27,2.86211337766226e-05,3.03976837481823e-05,2.75872588596703e-05,2.85680338165937e-05,316.308610571161
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-26,2.71390161992781e-05,2.88046803358857e-05,2.68873634568918e-05,2.86211337766226e-05,314.999781417393
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-25,2.71843210354752e-05,2.764238296972e-05,2.56552544693669e-05,2.71390161992781e-05,416.216692591346
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-24,2.83846804452673e-05,2.97306893993901e-05,2.71843210354752e-05,2.71843210354752e-05,328.435468925762
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-23,3.00653971881067e-05,3.01610422726483e-05,2.73839195890459e-05,2.83846804452673e-05,399.135597040954
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-22,3.24102482061571e-05,3.25039782031761e-05,2.96273002139553e-05,3.00653971881067e-05,364.820960990948
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-21,3.08819706675106e-05,3.35776198126736e-05,2.93017754846572e-05,3.24102482061571e-05,1004.748790172
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-20,3.15726692581145e-05,3.29104068012353e-05,2.9881001258729e-05,3.08819706675106e-05,800.34553167735
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-19,2.68320983187813e-05,3.23406721236718e-05,2.61268927268816e-05,3.15726692581145e-05,423.300236575929
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-18,2.67252772071654e-05,2.8019475683786e-05,2.58362494085611e-05,2.68320983187813e-05,375.658840398289
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-17,2.86243021524307e-05,2.95270123212762e-05,2.65985517199148e-05,2.67252772071654e-05,195.417679790752
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-16,2.68412730008345e-05,2.8859277878719e-05,2.54146406198278e-05,2.86243021524307e-05,430.794785561613
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-15,2.39828366315615e-05,2.68412730008345e-05,2.39423319387866e-05,2.68412730008345e-05,282.638014938125
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-14,2.28335408540512e-05,2.42967376452815e-05,2.27149055092957e-05,2.39828366315615e-05,189.40990822108
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-13,2.24791834825667e-05,2.31608507792592e-05,2.21094682237797e-05,2.28335408540512e-05,109.724221219119
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-12,2.36123648499888e-05,2.36948568072723e-05,2.20475697523199e-05,2.24791834825667e-05,116.542279839988
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-07-11,2.64416517301074e-05,2.75422300849187e-05,2.33308400540253e-05,2.36123648499888e-05,294.004294700955
